               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,            0.024994,           0.0081284,             0.00721,             0.94635,             0.91147,             0.94462,             0.71063,            0.016701,           0.0028385,           0.0046632,           0.0077725,           0.0077725,           0.0077725
                  47,            0.024948,           0.0080782,           0.0071722,             0.93017,             0.91514,             0.94171,             0.70814,            0.016651,           0.0028402,           0.0049163,            0.007723,            0.007723,            0.007723
                  48,            0.024544,           0.0080358,           0.0069913,             0.94267,             0.91377,             0.94304,             0.71415,            0.016474,           0.0028003,           0.0049557,           0.0076735,           0.0076735,           0.0076735
                  49,            0.024392,           0.0078351,           0.0067118,             0.93742,             0.92046,             0.94168,             0.71229,            0.016657,            0.002783,           0.0046629,            0.007624,            0.007624,            0.007624
                  50,            0.024057,           0.0078895,           0.0064296,             0.91977,               0.923,             0.93956,             0.71437,            0.016332,           0.0027685,           0.0052262,           0.0075745,           0.0075745,           0.0075745
                  51,            0.024328,           0.0078504,           0.0067131,             0.93308,              0.9247,             0.93957,             0.71723,            0.015991,           0.0027679,             0.00527,            0.007525,            0.007525,            0.007525
                  52,            0.024013,           0.0077771,            0.007322,             0.92936,             0.92412,             0.94287,             0.71817,            0.015907,           0.0027832,           0.0049307,           0.0074755,           0.0074755,           0.0074755
                  53,            0.024169,           0.0076585,           0.0067621,             0.92356,             0.91531,             0.93927,             0.71796,            0.015896,           0.0027668,           0.0052443,            0.007426,            0.007426,            0.007426
                  54,            0.023868,            0.007821,           0.0066863,             0.90891,             0.92996,             0.94157,             0.71891,            0.015934,           0.0027579,             0.00483,           0.0073765,           0.0073765,           0.0073765
                  55,            0.023664,            0.007725,           0.0064587,             0.92073,             0.92354,             0.94334,             0.72362,            0.015929,            0.002771,           0.0046666,            0.007327,            0.007327,            0.007327
                  56,            0.023387,           0.0076955,           0.0063802,             0.91589,             0.93764,             0.94348,             0.71953,            0.016052,           0.0027424,           0.0049367,           0.0072775,           0.0072775,           0.0072775
                  57,            0.023227,           0.0075015,           0.0059911,             0.91799,             0.93385,             0.94221,             0.72207,            0.016043,           0.0027298,           0.0049676,            0.007228,            0.007228,            0.007228
                  58,            0.023176,           0.0074806,           0.0055939,             0.92294,             0.92921,             0.94251,             0.72102,            0.016111,           0.0027303,           0.0051433,           0.0071785,           0.0071785,           0.0071785
                  59,            0.023129,           0.0074859,           0.0059178,             0.92038,             0.93517,             0.94368,             0.72378,            0.015976,            0.002718,           0.0048395,            0.007129,            0.007129,            0.007129
                  60,             0.02345,           0.0074599,            0.006072,             0.92227,              0.9345,             0.94307,             0.72447,            0.015901,           0.0027015,           0.0048737,           0.0070795,           0.0070795,           0.0070795
                  61,            0.022872,            0.007386,            0.005905,             0.92914,             0.92405,             0.94148,             0.72087,            0.016085,           0.0026973,           0.0052988,             0.00703,             0.00703,             0.00703
                  62,            0.022419,           0.0074427,           0.0058427,             0.92453,              0.9291,             0.94256,             0.72234,            0.016084,           0.0026765,           0.0052175,           0.0069805,           0.0069805,           0.0069805
                  63,             0.02279,           0.0073282,           0.0057135,             0.91003,             0.93798,             0.94318,             0.72488,            0.015982,           0.0026719,           0.0052716,            0.006931,            0.006931,            0.006931
                  64,            0.022606,           0.0073143,           0.0056719,             0.93418,              0.9136,             0.94533,             0.72909,            0.015901,           0.0026657,           0.0051392,           0.0068815,           0.0068815,           0.0068815
                  65,            0.022814,           0.0072962,           0.0058351,             0.93946,              0.9106,             0.94551,             0.73111,            0.015907,           0.0026644,           0.0049898,            0.006832,            0.006832,            0.006832
                  66,            0.022861,           0.0073553,           0.0061125,             0.94367,             0.91748,             0.94478,             0.73091,            0.015856,            0.002647,           0.0049685,           0.0067825,           0.0067825,           0.0067825
                  67,            0.022238,           0.0072084,           0.0055969,             0.94992,             0.91203,             0.94475,             0.72948,            0.015847,           0.0026408,           0.0050031,            0.006733,            0.006733,            0.006733
                  68,            0.022083,             0.00716,           0.0051726,             0.93582,             0.92347,             0.94495,             0.73088,            0.015808,           0.0026354,           0.0049491,           0.0066835,           0.0066835,           0.0066835
                  69,            0.021775,           0.0070452,           0.0053783,             0.93344,             0.92351,             0.94581,             0.73151,            0.015783,           0.0026229,           0.0049422,            0.006634,            0.006634,            0.006634
                  70,            0.021765,           0.0071365,           0.0054744,             0.92797,             0.92999,             0.94566,             0.73111,            0.015788,           0.0026288,           0.0050318,           0.0065845,           0.0065845,           0.0065845
                  71,            0.021778,           0.0071281,           0.0056568,             0.92383,              0.9279,             0.94658,             0.73114,            0.015711,           0.0026184,           0.0050766,            0.006535,            0.006535,            0.006535
                  72,            0.022169,           0.0070915,           0.0054275,              0.9249,             0.93267,              0.9465,             0.73167,            0.015685,           0.0026071,           0.0051581,           0.0064855,           0.0064855,           0.0064855
                  73,            0.021479,           0.0070105,           0.0052826,             0.93196,             0.92275,             0.94654,             0.73153,            0.015658,           0.0026033,           0.0051409,            0.006436,            0.006436,            0.006436
                  74,             0.02141,           0.0070611,           0.0050423,             0.93554,             0.92318,             0.94738,             0.73227,            0.015629,           0.0026008,           0.0051562,           0.0063865,           0.0063865,           0.0063865
                  75,            0.021489,           0.0071057,              0.0053,             0.94378,             0.92146,             0.94866,             0.73268,            0.015624,           0.0025974,           0.0051673,            0.006337,            0.006337,            0.006337
                  76,            0.021854,           0.0069978,           0.0055775,             0.94398,             0.92781,             0.94837,             0.73341,            0.015637,           0.0025963,            0.005145,           0.0062875,           0.0062875,           0.0062875
                  77,             0.02149,           0.0069241,           0.0052812,             0.93376,              0.9304,             0.94885,             0.73632,            0.015573,           0.0025934,           0.0051612,            0.006238,            0.006238,            0.006238
                  78,             0.02147,           0.0069827,           0.0050537,             0.93431,             0.92909,             0.94883,             0.73667,            0.015558,           0.0025943,           0.0052157,           0.0061885,           0.0061885,           0.0061885
                  79,              0.0212,           0.0068028,           0.0050599,             0.93567,             0.92853,             0.94848,             0.73651,            0.015553,            0.002598,            0.005259,            0.006139,            0.006139,            0.006139
                  80,            0.021184,           0.0067462,           0.0047235,             0.94252,             0.93082,             0.94876,             0.73387,            0.015541,           0.0026011,           0.0052545,           0.0060895,           0.0060895,           0.0060895
                  81,            0.020838,           0.0067305,           0.0046986,             0.94072,             0.93067,             0.94892,             0.73392,            0.015519,           0.0026009,           0.0052308,             0.00604,             0.00604,             0.00604
                  82,            0.020927,           0.0067155,           0.0049604,             0.94131,             0.92861,             0.94914,             0.73511,            0.015507,           0.0026022,           0.0052516,           0.0059905,           0.0059905,           0.0059905
                  83,            0.020869,           0.0066936,           0.0049496,             0.93815,             0.92801,              0.9491,             0.73627,            0.015474,           0.0026024,           0.0052466,            0.005941,            0.005941,            0.005941
                  84,            0.020612,           0.0067682,           0.0046487,             0.94692,             0.92025,             0.94898,             0.73629,             0.01545,           0.0026019,           0.0052405,           0.0058915,           0.0058915,           0.0058915
                  85,            0.020767,           0.0067566,           0.0048031,             0.93247,             0.93553,             0.94931,             0.73761,            0.015434,           0.0025996,           0.0052564,            0.005842,            0.005842,            0.005842
                  86,            0.020448,           0.0067045,           0.0049211,             0.93353,             0.93557,             0.94881,             0.73677,            0.015467,           0.0025995,           0.0052511,           0.0057925,           0.0057925,           0.0057925
                  87,            0.020396,           0.0066768,            0.004637,              0.9377,             0.93056,             0.94868,             0.73759,            0.015479,           0.0026013,           0.0052352,            0.005743,            0.005743,            0.005743
                  88,            0.020491,           0.0065257,           0.0044198,              0.9384,             0.93059,             0.94992,             0.73561,            0.015492,           0.0026044,           0.0052355,           0.0056935,           0.0056935,           0.0056935
                  89,            0.020068,           0.0065693,            0.004513,             0.93829,             0.93036,              0.9501,              0.7361,            0.015508,           0.0026059,           0.0052406,            0.005644,            0.005644,            0.005644
                  90,            0.020147,           0.0065344,           0.0045001,             0.93867,             0.93029,             0.95026,             0.73631,            0.015528,            0.002607,           0.0052361,           0.0055945,           0.0055945,           0.0055945
                  91,            0.020206,           0.0064607,           0.0046724,             0.94111,             0.93105,             0.95031,             0.73387,            0.015536,           0.0026086,           0.0052515,            0.005545,            0.005545,            0.005545
                  92,            0.020125,           0.0065788,           0.0045182,             0.94084,              0.9322,             0.95029,             0.73288,            0.015551,           0.0026105,           0.0052506,           0.0054955,           0.0054955,           0.0054955
                  93,            0.019652,           0.0064555,           0.0043929,              0.9398,             0.93258,              0.9502,             0.73253,            0.015557,           0.0026139,           0.0052512,            0.005446,            0.005446,            0.005446
                  94,            0.019826,           0.0064135,           0.0042235,             0.94478,             0.92771,             0.95032,             0.73229,            0.015555,           0.0026154,           0.0052372,           0.0053965,           0.0053965,           0.0053965
                  95,            0.020178,           0.0065301,           0.0047712,             0.94592,             0.92777,             0.95043,             0.73306,            0.015558,           0.0026179,           0.0052418,            0.005347,            0.005347,            0.005347
                  96,            0.019857,           0.0064084,           0.0044725,             0.94944,             0.92662,             0.95033,             0.73289,            0.015562,           0.0026195,           0.0052564,           0.0052975,           0.0052975,           0.0052975
                  97,            0.019479,           0.0063461,           0.0039481,             0.95037,             0.92629,             0.95008,              0.7332,            0.015565,           0.0026215,             0.00526,            0.005248,            0.005248,            0.005248
                  98,            0.019359,           0.0064125,           0.0043716,             0.95087,             0.92562,             0.95004,             0.73359,            0.015566,           0.0026216,           0.0052785,           0.0051985,           0.0051985,           0.0051985
                  99,            0.019124,           0.0062751,           0.0040754,             0.95088,             0.92613,             0.95023,             0.73314,            0.015563,           0.0026224,           0.0052911,            0.005149,            0.005149,            0.005149
                 100,            0.019692,           0.0063681,           0.0042353,               0.952,             0.92585,             0.95037,             0.73332,            0.015564,            0.002622,           0.0052891,           0.0050995,           0.0050995,           0.0050995
                 101,            0.019428,           0.0062488,           0.0042817,             0.95194,             0.92615,             0.95037,             0.73377,            0.015557,           0.0026231,           0.0052923,             0.00505,             0.00505,             0.00505
                 102,             0.01927,             0.00623,           0.0039206,             0.95259,             0.92632,             0.95058,              0.7344,            0.015552,           0.0026238,           0.0052973,           0.0050005,           0.0050005,           0.0050005
                 103,            0.019158,           0.0062222,           0.0041738,             0.95387,             0.92575,             0.95084,             0.73384,            0.015546,           0.0026237,           0.0053052,            0.004951,            0.004951,            0.004951
                 104,            0.019019,           0.0061858,           0.0040701,             0.95398,             0.92578,             0.95056,             0.73368,            0.015541,           0.0026249,           0.0053202,           0.0049015,           0.0049015,           0.0049015
                 105,            0.019023,           0.0062886,           0.0042917,             0.95352,             0.92629,             0.95074,             0.73486,            0.015538,           0.0026257,           0.0053263,            0.004852,            0.004852,            0.004852
                 106,            0.019245,           0.0061767,           0.0043171,             0.95246,             0.92771,             0.95076,             0.73486,            0.015535,           0.0026268,           0.0053312,           0.0048025,           0.0048025,           0.0048025
                 107,            0.018869,           0.0060625,           0.0037678,             0.94915,             0.92721,             0.95089,              0.7349,            0.015538,           0.0026275,           0.0053398,            0.004753,            0.004753,            0.004753
                 108,            0.018948,           0.0060677,           0.0039207,             0.94869,             0.92749,             0.95072,             0.73498,            0.015539,           0.0026276,           0.0053619,           0.0047035,           0.0047035,           0.0047035
                 109,            0.019193,           0.0061025,           0.0043389,             0.94871,             0.92678,             0.95065,             0.73516,            0.015532,           0.0026268,           0.0053612,            0.004654,            0.004654,            0.004654
                 110,            0.018479,           0.0060099,           0.0035034,             0.94801,              0.9316,             0.95082,             0.73521,            0.015527,           0.0026267,           0.0053601,           0.0046045,           0.0046045,           0.0046045
                 111,            0.018499,           0.0060262,           0.0038271,             0.94805,             0.93177,             0.95089,             0.73572,            0.015525,            0.002626,           0.0053393,            0.004555,            0.004555,            0.004555
                 112,            0.018653,           0.0060934,           0.0040227,               0.948,             0.93258,               0.951,             0.73647,            0.015526,           0.0026261,           0.0053352,           0.0045055,           0.0045055,           0.0045055
                 113,            0.018448,           0.0059439,           0.0036184,             0.94285,              0.9329,             0.95095,             0.73656,            0.015524,            0.002627,           0.0053346,            0.004456,            0.004456,            0.004456
                 114,            0.018223,           0.0059621,           0.0036589,              0.9462,             0.93258,             0.95113,             0.73694,            0.015517,            0.002627,           0.0053214,           0.0044065,           0.0044065,           0.0044065
                 115,            0.018161,           0.0059888,            0.003483,              0.9503,             0.93179,             0.95127,             0.73782,            0.015508,           0.0026276,           0.0053226,            0.004357,            0.004357,            0.004357
                 116,            0.018344,            0.005977,           0.0037753,             0.95151,             0.92918,             0.95144,             0.73673,            0.015506,           0.0026276,           0.0053184,           0.0043075,           0.0043075,           0.0043075
                 117,            0.018201,           0.0059215,           0.0033717,             0.95382,             0.93106,              0.9516,             0.73645,            0.015501,           0.0026278,           0.0053185,            0.004258,            0.004258,            0.004258
                 118,            0.017954,           0.0058116,           0.0032583,             0.95383,             0.93121,             0.95162,             0.73657,            0.015497,           0.0026287,           0.0053146,           0.0042085,           0.0042085,           0.0042085
                 119,            0.018138,           0.0058429,           0.0036938,             0.95118,             0.92901,              0.9518,             0.73827,            0.015491,           0.0026298,           0.0053155,            0.004159,            0.004159,            0.004159
                 120,            0.017875,           0.0058251,           0.0034425,             0.95376,             0.93164,             0.95176,               0.738,            0.015482,           0.0026295,           0.0053141,           0.0041095,           0.0041095,           0.0041095
