                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.91521,                 0.7546,                 1.3079,                0.95935,                0.92863,                0.95164,                0.69684,                 1.0767,                0.57499,                 1.3717,               0.005578,               0.005578,               0.005578
                     70,                0.91386,                0.75023,                 1.3084,                0.95572,                0.92442,                 0.9511,                0.69658,                 1.0764,                 0.5781,                 1.3716,               0.005512,               0.005512,               0.005512
                     71,                0.91182,                0.74891,                 1.3136,                0.96128,                 0.9236,                0.95115,                0.69515,                 1.0768,                0.57546,                 1.3723,               0.005446,               0.005446,               0.005446
                     72,                0.90853,                0.74796,                 1.3071,                0.95966,                0.92128,                0.95126,                0.69642,                 1.0761,                0.57452,                  1.372,                0.00538,                0.00538,                0.00538
                     73,                0.89843,                0.73545,                 1.2968,                0.95383,                0.92193,                0.95162,                0.69879,                 1.0745,                 0.5729,                 1.3698,               0.005314,               0.005314,               0.005314
                     74,                0.90438,                0.74212,                 1.2998,                0.95754,                 0.9215,                0.95262,                0.69927,                 1.0742,                 0.5694,                 1.3695,               0.005248,               0.005248,               0.005248
                     75,                 0.8899,                0.71894,                 1.2932,                0.95916,                0.91953,                0.95309,                0.70072,                 1.0741,                0.56897,                 1.3695,               0.005182,               0.005182,               0.005182
                     76,                0.89449,                 0.7263,                 1.2958,                0.95627,                0.92159,                0.95309,                0.70089,                 1.0724,                 0.5657,                 1.3681,               0.005116,               0.005116,               0.005116
                     77,                0.89155,                 0.7286,                 1.2896,                 0.9553,                0.92159,                0.95324,                0.69898,                 1.0713,                0.56346,                 1.3674,                0.00505,                0.00505,                0.00505
                     78,                0.88878,                0.72594,                 1.2915,                0.95768,                0.92363,                0.95367,                0.69956,                 1.0704,                0.56136,                 1.3672,               0.004984,               0.004984,               0.004984
                     79,                 0.8831,                0.71869,                 1.2868,                0.95757,                0.92423,                0.95441,                0.70007,                 1.0685,                0.56023,                 1.3656,               0.004918,               0.004918,               0.004918
                     80,                0.87553,                0.70713,                 1.2787,                0.95606,                0.92442,                0.95445,                0.70132,                 1.0671,                0.56026,                  1.365,               0.004852,               0.004852,               0.004852
                     81,                0.87496,                0.71112,                 1.2843,                0.95812,                0.92599,                0.95446,                0.70194,                 1.0664,                0.56047,                 1.3648,               0.004786,               0.004786,               0.004786
