                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.94342,                0.78768,                 1.3352,                0.96139,                0.92354,                0.95653,                0.68157,                 1.1099,                0.58686,                   1.39,               0.004753,               0.004753,               0.004753
                     56,                0.93318,                0.78374,                 1.3312,                0.95994,                0.92716,                0.95667,                0.68403,                 1.1124,                0.58752,                 1.3906,               0.004654,               0.004654,               0.004654
                     57,                0.93696,                0.78238,                 1.3357,                0.96273,                0.92495,                0.95818,                0.68544,                 1.1111,                0.58466,                 1.3902,               0.004555,               0.004555,               0.004555
                     58,                0.92882,                0.78172,                 1.3253,                0.96305,                0.92403,                0.95655,                0.68567,                 1.1069,                0.58588,                 1.3869,               0.004456,               0.004456,               0.004456
                     59,                   0.92,                0.75637,                 1.3153,                0.95905,                0.92349,                0.95451,                0.68616,                 1.1012,                0.58399,                 1.3821,               0.004357,               0.004357,               0.004357
                     60,                0.92744,                0.77226,                 1.3237,                0.96361,                0.92358,                0.95517,                0.68506,                  1.095,                0.57832,                 1.3778,               0.004258,               0.004258,               0.004258
                     61,                0.91348,                0.75466,                 1.3086,                0.96003,                 0.9266,                0.95481,                0.68635,                 1.0927,                0.57349,                 1.3742,               0.004159,               0.004159,               0.004159
                     62,                0.90597,                0.75613,                 1.3007,                0.95688,                0.92766,                 0.9554,                0.68875,                 1.0901,                0.57127,                 1.3701,                0.00406,                0.00406,                0.00406
                     63,                0.90009,                0.73249,                 1.2941,                0.95911,                 0.9277,                0.95695,                0.68902,                 1.0864,                0.57103,                 1.3669,               0.003961,               0.003961,               0.003961
                     64,                0.89695,                0.73053,                 1.2888,                0.95804,                 0.9277,                0.95695,                0.68935,                 1.0827,                0.57007,                 1.3635,               0.003862,               0.003862,               0.003862
                     65,                0.89239,                0.72894,                 1.2893,                0.95742,                0.92697,                0.95691,                0.69086,                 1.0807,                0.57134,                 1.3616,               0.003763,               0.003763,               0.003763
                     66,                0.88843,                0.72405,                 1.2865,                0.95379,                0.92861,                0.95693,                 0.6903,                   1.08,                0.57048,                 1.3614,               0.003664,               0.003664,               0.003664
                     67,                0.87728,                 0.7072,                 1.2803,                0.95337,                0.93003,                0.95745,                0.69245,                 1.0768,                0.57019,                 1.3593,               0.003565,               0.003565,               0.003565
                     68,                0.86951,                0.70241,                 1.2715,                0.95575,                0.92826,                0.95742,                0.69328,                  1.076,                0.56806,                 1.3607,               0.003466,               0.003466,               0.003466
                     69,                0.87125,                0.70816,                 1.2723,                0.95441,                0.92826,                0.95758,                0.69379,                 1.0733,                0.56646,                 1.3598,               0.003367,               0.003367,               0.003367
                     70,                0.86904,                 0.7028,                 1.2697,                0.95532,                0.92826,                0.95788,                0.69605,                 1.0715,                0.56642,                 1.3594,               0.003268,               0.003268,               0.003268
                     71,                0.86534,                0.69675,                 1.2701,                0.95529,                0.92826,                0.95778,                0.69692,                 1.0714,                0.56699,                 1.3586,               0.003169,               0.003169,               0.003169
                     72,                0.86078,                0.69614,                 1.2634,                0.95548,                0.92826,                 0.9582,                0.69688,                  1.071,                0.56756,                 1.3583,                0.00307,                0.00307,                0.00307
                     73,                0.85298,                0.67918,                 1.2545,                0.95699,                0.92787,                0.95829,                0.69597,                 1.0704,                 0.5673,                 1.3591,               0.002971,               0.002971,               0.002971
                     74,                0.85563,                0.68583,                 1.2626,                0.95752,                0.92756,                0.95825,                0.69742,                 1.0691,                 0.5666,                 1.3582,               0.002872,               0.002872,               0.002872
                     75,                0.83602,                0.66446,                 1.2464,                0.95556,                0.92729,                0.95858,                0.70027,                 1.0679,                0.56557,                 1.3572,               0.002773,               0.002773,               0.002773
                     76,                0.84236,                0.66643,                 1.2493,                0.95603,                0.92719,                0.95807,                0.70146,                 1.0661,                 0.5651,                 1.3552,               0.002674,               0.002674,               0.002674
                     77,                0.83149,                0.66703,                 1.2352,                0.95844,                0.92716,                0.95802,                0.70162,                 1.0642,                0.56316,                  1.354,               0.002575,               0.002575,               0.002575
                     78,                0.83046,                0.66441,                 1.2391,                0.95816,                0.92761,                0.95836,                0.70252,                 1.0625,                0.56201,                 1.3531,               0.002476,               0.002476,               0.002476
                     79,                0.82196,                0.65694,                 1.2337,                0.95824,                 0.9277,                0.95871,                0.70329,                 1.0618,                 0.5617,                 1.3529,               0.002377,               0.002377,               0.002377
                     80,                0.81887,                0.64113,                 1.2307,                0.95818,                 0.9278,                 0.9587,                0.70342,                 1.0614,                0.56061,                 1.3532,               0.002278,               0.002278,               0.002278
                     81,                0.81712,                0.64918,                 1.2304,                0.95813,                0.92869,                0.95868,                0.70445,                 1.0599,                0.56033,                 1.3525,               0.002179,               0.002179,               0.002179
                     82,                0.80622,                0.63624,                 1.2187,                0.95803,                 0.9289,                 0.9589,                0.70424,                 1.0593,                0.55892,                 1.3524,                0.00208,                0.00208,                0.00208
                     83,                0.80642,                0.63363,                 1.2203,                 0.9581,                0.92917,                0.95898,                0.70616,                 1.0584,                0.55752,                 1.3522,               0.001981,               0.001981,               0.001981
                     84,                 0.7991,                0.62522,                  1.215,                0.95834,                0.92898,                0.95926,                0.70676,                  1.057,                0.55407,                 1.3513,               0.001882,               0.001882,               0.001882
                     85,                0.79556,                0.62544,                 1.2064,                0.95857,                0.92942,                0.95902,                0.70703,                 1.0556,                0.55342,                 1.3513,               0.001783,               0.001783,               0.001783
                     86,                0.78452,                0.61889,                 1.2036,                0.95874,                0.92979,                0.95893,                0.70881,                 1.0555,                0.55323,                 1.3514,               0.001684,               0.001684,               0.001684
                     87,                0.78001,                  0.605,                  1.202,                0.95894,                0.92984,                0.95891,                0.70932,                 1.0544,                0.55159,                 1.3512,               0.001585,               0.001585,               0.001585
                     88,                0.77714,                0.60828,                 1.1995,                0.95904,                0.92994,                0.95913,                0.71023,                 1.0541,                0.55191,                 1.3514,               0.001486,               0.001486,               0.001486
                     89,                0.76896,                0.59507,                 1.1904,                0.95913,                0.92997,                0.95859,                0.71018,                 1.0526,                 0.5518,                 1.3503,               0.001387,               0.001387,               0.001387
                     90,                0.77344,                0.60057,                  1.196,                0.95919,                0.92995,                0.95779,                0.70964,                 1.0521,                0.55097,                 1.3502,               0.001288,               0.001288,               0.001288
                     91,                0.63067,                0.34055,                 1.0711,                0.95924,                0.92977,                0.95796,                0.71072,                 1.0514,                0.55011,                 1.3498,               0.001189,               0.001189,               0.001189
                     92,                0.61491,                0.32896,                 1.0616,                0.95935,                0.92998,                0.95811,                0.71107,                 1.0505,                0.54946,                 1.3495,                0.00109,                0.00109,                0.00109
                     93,                0.59998,                0.32467,                 1.0454,                0.95961,                0.92975,                0.95819,                0.71264,                 1.0489,                0.54882,                 1.3486,               0.000991,               0.000991,               0.000991
                     94,                0.60165,                0.31583,                 1.0493,                0.96004,                0.92969,                0.95837,                0.71421,                 1.0473,                0.54755,                 1.3476,               0.000892,               0.000892,               0.000892
                     95,                0.58346,                0.30933,                 1.0342,                0.96036,                0.92962,                0.95831,                0.71442,                 1.0465,                0.54707,                 1.3472,               0.000793,               0.000793,               0.000793
                     96,                0.58012,                0.30659,                 1.0318,                0.96041,                0.92926,                0.95842,                0.71453,                 1.0454,                0.54623,                 1.3466,               0.000694,               0.000694,               0.000694
                     97,                0.57054,                0.30275,                 1.0232,                0.96044,                0.92893,                0.95846,                 0.7151,                 1.0435,                0.54538,                 1.3454,               0.000595,               0.000595,               0.000595
                     98,                0.56284,                 0.2976,                 1.0193,                0.95776,                 0.9277,                0.95855,                0.71505,                 1.0421,                0.54502,                 1.3443,               0.000496,               0.000496,               0.000496
                     99,                0.55227,                0.29025,                 1.0136,                0.95767,                 0.9277,                0.95863,                 0.7149,                 1.0409,                0.54367,                 1.3438,               0.000397,               0.000397,               0.000397
                    100,                0.55429,                0.29251,                 1.0164,                0.95738,                 0.9277,                0.95894,                0.71577,                 1.0398,                0.54266,                 1.3436,               0.000298,               0.000298,               0.000298
